# Average execution times of incrementers with N threads
# Note: This is placeholder data
# N	local ns	pdc ns
#1	180		100
#2	264		195
#4	443		405
#8	1617		804
#16	4837		1580
#32	9011		3200
#64	12055		6400
1	8352941    121596.94
2	19554672    9673014.72
4	44395747    8317724.27
8	74503980    5978600.34
16	156112898   21990137.51
32	296227785   27793142.06
64	560549836   85431713.99
