sorter_name,thread_count,average_time,standard_deviation
Thread,1,843364809.000000,40458039.044456
Thread,2,438617250.000000,34367809.784590
Thread,4,257883802.000000,35913579.760778
Thread,8,216255522.000000,29241611.180174
