threads,distribution,mix,average_time,standard_deviation,average_discrepancies
1,Normal,1:1:8,707879983.700000,14226978.269237,0
2,Normal,1:1:8,1006632826.900000,131081094.951812,2
4,Normal,1:1:8,1137639412.600000,145428524.708532,6
8,Normal,1:1:8,1374162758.300000,131641850.696558,17
16,Normal,1:1:8,1871981055.300000,257150405.746435,86
32,Normal,1:1:8,2200666838.600000,230966531.712709,308
48,Normal,1:1:8,2708778214.700000,88842399.246232,735
1,Normal,1:1:0,1077871152.800000,37761176.812977,0
2,Normal,1:1:0,1490180834.500000,205844753.032701,3
4,Normal,1:1:0,1677559842.100000,254306745.435046,19
8,Normal,1:1:0,1931728268.300000,376175697.553318,73
16,Normal,1:1:0,3089389570.200000,NaN,313
32,Normal,1:1:0,4103150234.400000,NaN,1206
48,Normal,1:1:0,4869178761.300000,NaN,2579
1,Uniform,1:1:8,898956916.500000,14841826.598986,0
2,Uniform,1:1:8,1324451578.600000,130612733.888154,0
4,Uniform,1:1:8,1648350048.400000,206402304.306629,1
8,Uniform,1:1:8,1801915238.400000,318457118.223122,9
16,Uniform,1:1:8,2237209404.200000,225206782.808117,24
32,Uniform,1:1:8,2760256124.400000,NaN,109
48,Uniform,1:1:8,3188199744.300000,NaN,236
1,Uniform,1:1:0,1571741685.100000,148660241.671332,0
2,Uniform,1:1:0,1987103611.600000,226174864.448578,1
4,Uniform,1:1:0,2196315609.300000,371487892.314449,6
8,Uniform,1:1:0,2325969008.700000,NaN,27
16,Uniform,1:1:0,3268657517.700000,NaN,107
32,Uniform,1:1:0,4149963948.100000,NaN,456
48,Uniform,1:1:0,5122241825.500000,NaN,926
